base name:
zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated.smt2/traces/shuffle.140149928998980730

10120 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::helper_invariants::proof::lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated
controller_examples/zookeeper_controller/proof/helper_invariants/proof.rs:118

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
prelude_box_unbox_int                                                               1155     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1143     2     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      1107     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      1107     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      1107     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      1107     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      1107     0     0     0     0
prelude_has_type_int                                                                1077     3     3     3     3
internal_zookeeper_controller__kubernetes_api_objects__spec__pod_template_s...      1076     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...      1060     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...      1034     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1025    10     8     8     7
internal_crate__fun__1_box_axiom_definition                                         1022    48    48    48    48
internal_tuple__2./tuple__2/1_invariant_definition                                   974     3     3     4     3
internal_zookeeper_controller__kubernetes_api_objects__spec__label_selector...       937     0     0     0     0
mariposa_qid_172                                                                     916     4     4     6     7
internal_zookeeper_controller!kubernetes_api_objects.spec.container.Contain...       883     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Con...       883     0     0     0     0
mariposa_qid_74                                                                      882     4     3     3     3
internal_vstd!seq.Seq.empty.?_pre_post_definition                                    808     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                    800    26    11    11     9
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       789     0     0     0     0
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 788     2     2     2     2
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...       768    14     7     7     5
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...       762     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...       760     0     0     0     0
internal_zookeeper_controller__state_machine__action__Action_box_axiom_defi...       745    28    26    27    26
internal_zookeeper_controller!kubernetes_api_objects.spec.container.Contain...       738     0     0     0     0
internal_zookeeper_controller!state_machine.action.Action./Action_construct...       732     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       690     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       687     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       680     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       676     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       674     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       674     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       659     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       659     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       659     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       659     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       659     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       659     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.impl&__...       650     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.impl&__...       650     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.impl&__...       650     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.impl&__...       650     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Vol...       650     0     0     0     0
