base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/traces/rename.7482608532762354548

10129 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/rabbitmq_controller/proof/liveness/resource_match.rs:506

traced instantiations:
QID                                                                                    T    P0    P1    P2
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       115     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       114    12     7     7
internal_rabbitmq_controller__kubernetes_cluster__spec__api_server__types__...       113     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.proof.predicate.at_rabbitm...       112     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.proof.predicate.at_rabbitm...       112     3     3     3
mariposa_qid_132                                                                     112     3     3     4
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...       111     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.ObjectField...       110     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__ObjectF...       110     0     0     0
mariposa_qid_269                                                                     109     2     2     1
internal_rabbitmq_controller__kubernetes_cluster__spec__cluster_state_machi...       109     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__SecretV...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...       108     3     3     3
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__VolumeP...       108     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.impl&__1.next_resu...       108     8     8     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.KeyToPathVi...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__VolumeP...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__SecretV...       108     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       108     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__ConfigM...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__9.se...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__9.se...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.ConfigMapVo...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__9.se...       108     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.impl&__1.next_resu...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.SecretVolum...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.ProjectedVo...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__Project...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__Downwar...       108     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeProje...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__9.se...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__Downwar...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__ConfigM...       108     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.KeyToPathVi...       108     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__Project...       108     0     0     0
internal_tuple__3./tuple__3/1_accessor_definition                                    107     2     2     3
internal_rabbitmq_controller__kubernetes_cluster__spec__external_api__types...       107     0     0     0
internal_tuple__3./tuple__3/2_accessor_definition                                    107     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__Downwar...       107     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.DownwardAPI...       107     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.common.ObjectRef./...       106     3     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...       105     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__Downwar...       105     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.DownwardAPI...       105     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...       104     6     6     5
user_vstd__map__axiom_map_insert_same_5                                              104     3     1     3
internal_rabbitmq_controller!kubernetes_cluster.spec.network.types.NetworkS...       104     6     5     5
internal_rabbitmq_controller!reconciler.spec.reconciler.Reconciler.reconcil...       103     2     3     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       103     0     0     0
internal_rabbitmq_controller!reconciler.spec.reconciler.Reconciler.reconcil...       103     0     0     0
internal_rabbitmq_controller!reconciler.spec.reconciler.Reconciler.reconcil...       103     3     3     2
internal_rabbitmq_controller!reconciler.spec.reconciler.Reconciler.reconcil...       103     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       102     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       102     0     0     0
internal_vstd!set.impl&__0.subset_of.?_definition                                    102
- [root]                                                                             102     0     0     0
- user_vstd__set__impl&%0__subset_of_0                                                 0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role__RoleView_...       102     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       102     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       101     8     7     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.impl&_...       100    10     9    10
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.impl&_...       100     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...        99     4     3     3
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...        99     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...        98     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Cont...        97     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        97     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...        96     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...        96     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...        96     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...        95     2     3     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.CreateR...        95     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...        94     7     6     4
mariposa_qid_274                                                                      94     3     3     3
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...        94     3     3     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.owner_reference.Ow...        91     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service_account...        91     1     1     1
internal_crate__tuple__0_unbox_axiom_definition                                       90     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role.RoleView./Rol...        90     0     0     0
mariposa_qid_112                                                                      90     6     6     4
internal_rabbitmq_controller__kubernetes_api_objects__spec__role__RoleView_...        90     0     0     0
prelude_as_type                                                                       89     6     6     6
internal_rabbitmq_controller__kubernetes_api_objects__spec__service_account...        89     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service_account.Se...        89     0     0     0
internal_vstd!map.impl&__0.remove.?_pre_post_definition                               87     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Upd...        87     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__pod_template_sp...        86     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...        86     0     0     0
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...        86     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__owner_reference...        86     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...        85     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...        85     6     6     5
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....        85     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....        85     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__resource_requir...        85     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        84     2     1     1
mariposa_qid_193                                                                      83
- [root]                                                                              37     2     2     2
- user_rabbitmq_controller__rabbitmq_controller__proof__helper_invariants__pr...      46     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__EnvV...        82     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        82     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        82     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        82     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        82     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        81     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        81     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        80     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...        80     3     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        80     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        80     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__MessageOps...        80     8     9     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        80     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...        80     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...        79     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...        79     0     0     0
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...        77     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        77     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...        77     0     0     0
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...        77     0     0     0
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...        77     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.builtin_controllers.ty...        76     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...        76     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.GetRequ...        76     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...        76     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.common.ObjectRef./...        76     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...        75     0     0     0
mariposa_qid_140                                                                      75     6     6     6
mariposa_qid_122                                                                      75     1     2     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....        75     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...        74     3     3     3
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...        74     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.external_api.types.Ext...        74     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__persistent_volu...        74     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__external_api__types...        74     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        73     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...        73     4     4     4
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...        73     2     2     2
mariposa_qid_133                                                                      73     2     2     2
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...        73     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        73     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...        72     3     3     3
internal_vstd!seq_lib.impl&__0.filter.?_pre_post_definition                           72     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        72     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__0.se...        72     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        72     0     0     0
user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_62                                72
- [root]                                                                              72     0     0     0
- user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_60                               0     0     0     0
- user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_61                               0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__EmptyDi...        72     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__EmptyDi...        72     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__persistent_volu...        72     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.EmptyDirVol...        72     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        72     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__0.se...        72     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...        72     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...        71     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageOps./Me...        71     8     9     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource_requireme...        70     0     0     0
mariposa_qid_206                                                                      70     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__resource_requir...        70     0     0     0
mariposa_qid_203                                                                      70     2     3     2
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        70     3     3     3
mariposa_qid_141                                                                      70     7     7     7
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...        69     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.per...        69     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...        69     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...        69     4     4     4
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...        69     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Cre...        69     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.per...        69     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.per...        69     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.CreateR...        69     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...        68     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.builtin_controllers.ty...        67     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Upd...        67     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...        67     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...        66     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...        66     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.StateMachine./Stat...        66     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...        66     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.StateMachine./Stat...        66     4     5     4
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        66     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.StateMachine./Stat...        66     4     5     4
internal_rabbitmq_controller!state_machine.state_machine.StateMachine./Stat...        66     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        66     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        66     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...        65     1     1     1
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...        65     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Cre...        65     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__pod__PodSpecVie...        65     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        64     0     0     0
mariposa_qid_76                                                                       64     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        64     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...        64     2     2     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        64     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        64     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        64     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        64     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...        64     0     0     0
internal_vstd!multiset.impl&__0.remove.?_definition                                   63     5     5     5
internal_vstd!multiset.impl&__0.remove.?_pre_post_definition                          63     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageOps./Me...        63     7     7     7
internal_vstd!set.impl&__0.empty.?_pre_post_definition                                62     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        62     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        62     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.implies.?_definit...        61     2     2     2
mariposa_qid_214                                                                      61     2     2     2
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.implies.?_pre_pos...        61     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        61     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        60     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.external_api.types.Ext...        59     0     1     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        59     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....        59     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        59     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        58     0     0     0
user_vstd__multiset__axiom_multiset_empty_15                                          58     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...        58     1     0     0
mariposa_qid_223                                                                      58     1     1     1
mariposa_qid_213                                                                      58     2     2     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.CreateR...        57     3     3     2
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        57     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Upd...        57     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.get_c...        57     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.get_c...        57     3     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        57     0     0     0
mariposa_qid_69                                                                       56     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...        56     0     0     0
mariposa_qid_191                                                                      56     8     8     8
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...        56     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        56     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.valid.?_definition                   56
- [root]                                                                              56     2     2     2
- user_rabbitmq_controller__temporal_logic__defs__valid_115                            0     0     0     0
mariposa_qid_222                                                                      56     2     2     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...        55     2     2     2
internal_crate__tuple__0_has_type_always_definition                                   55     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIRequ...        55     2     1     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIRequ...        54     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__3...        54     0     0     0
user_vstd__map__axiom_map_insert_domain_4                                             54     7     7     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__3...        54     0     0     0
mariposa_qid_215                                                                      54     0     0     0
mariposa_qid_221                                                                      54     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__3...        54     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod.PodSpecView./P...        54     0     0     0
internal_vstd!multiset.impl&__0.sub.?_pre_post_definition                             54     3     3     3
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.and.?_pre_post_de...        54     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__3...        54     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.and.?_definition            54     6     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...        54     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__label_selector_...        54     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Ongoi...        53     9     6    10
mariposa_qid_272                                                                      53     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....        53     5     4     5
internal_rabbitmq_controller__kubernetes_api_objects__spec__stateful_set__S...        53     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        52     0     0     0
internal_rabbitmq_controller__state_machine__state_machine__StateMachine_bo...        52     4     4     4
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        52     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...        52     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__pod__PodSpecVie...        52     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.StateMachine./Stat...        52     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        52     0     0     0
internal_rabbitmq_controller__state_machine__state_machine__StateMachine_un...        52     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Exec...        51     0     0     0
mariposa_qid_75                                                                       51     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...        51     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__pod_template_sp...        51     0     0     0
internal_rabbitmq_controller__reconciler__spec__io__ResponseView_box_axiom_...        51     2     1     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.empty_sta...        51     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__step__SubResour...        51     4     3     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        51     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__TCPS...        51     0     0     0
mariposa_qid_78                                                                       51     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Life...        51     0     0     0
mariposa_qid_216                                                                      51     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....        51     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....        51     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...        51     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        50     0     0     0
mariposa_qid_71                                                                       50     3     3     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...        49     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.NetworkStateMachin...        49     0     0     0
internal_rabbitmq_controller!state_machine.state_machine.NetworkStateMachin...        49     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.stateful_se...        48     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        48     0     0     0
mariposa_qid_219                                                                      48     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.stateful_se...        48     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...        48     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        47     7     6     7
mariposa_qid_134                                                                      47     2     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....        47     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Ongoi...        47     6     5    11
internal_rabbitmq_controller!temporal_logic.defs.always.?_definition                  46     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        45     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...        45     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        45     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.common.ObjectRef./...        45     0     0     0
mariposa_qid_273                                                                      45     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__1.alloc...        44     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__1.alloc...        44     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.TCPSocke...        43     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__TCPS...        43     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Exec...        43     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Life...        43     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ExecActi...        43     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Lifecycl...        43     0     0     0
mariposa_qid_129                                                                      42     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.common.make...        42     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...        42     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.common.make...        42     3     2     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...        42     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        41     1     1     1
internal_rabbitmq_controller!state_machine.state_machine.impl&__0.next_resu...        41     5     6     5
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.entails.?_definit...        41     3     3     3
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        41     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        40     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        40     0     0     0
mariposa_qid_127                                                                      39     0     0     0
