base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/traces/rename.7482608532762354548

10129 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/rabbitmq_controller/proof/liveness/resource_match.rs:506

traced instantiations:
QID                                                                                    T    P0    P1    P2
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      1013     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...      1013     0     0     0
internal_rabbitmq_controller__state_machine__action__Action_box_axiom_defin...       999    25    27    25
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       946     1     1     1
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...       945     5     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...       942     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.common.ObjectRef./...       933     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__Message_bo...       928    12    12    11
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       923    12     9    12
internal_tuple__2./tuple__2/1_invariant_definition                                   922     7     7     7
internal_rabbitmq_controller__kubernetes_api_objects__spec__config_map__Con...       905     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       902     2     2     2
internal_rabbitmq_controller!state_machine.action.Action./Action/preconditi...       898    18    19    18
user_vstd__multiset__axiom_multiset_singleton_different_19                           882     6     5     5
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...       850     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.GetRequ...       822     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/transition...       819     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/preconditi...       818     2     4     2
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...       815     1     1     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...       814     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       811     7     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       796     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       795     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/transition...       772    17    16    16
internal_rabbitmq_controller!state_machine.action.Action./Action_constructo...       768     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Get...       763     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       758     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       746    47    42    48
internal_rabbitmq_controller__state_machine__action__ActionResult_box_axiom...       743    23    22    24
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...       736    18    17    16
internal_rabbitmq_controller__kubernetes_api_objects__spec__config_map__Con...       703     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       692     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       680    18    15    18
internal_rabbitmq_controller__state_machine__action__Action_unbox_axiom_def...       667     0     0     0
