base name:
fluent-log-fluent_controller__fluentbit__proof__liveness__resource_match.4.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit__proof__liveness__resource_match.4.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit__proof__liveness__resource_match.4.smt2/traces/shuffle.10946823814632310072

10127 unknown

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit::proof::liveness::resource_match::lemma_resource_state_matches_at_after_update_resource_step
controller_examples/fluent_controller/fluentbit/proof/liveness/resource_match.rs:713

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1209     0     0     0     0
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                         1182    11    11    10    11
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1181     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1175    17    16    15    14
internal_fluent_controller__kubernetes_cluster__spec__message__Message_box_...      1175     5     6     3     4
internal_fluent_controller__kubernetes_cluster__spec__message__Message_unbo...      1155     2     2     2     2
internal_tuple__2./tuple__2/1_invariant_definition                                  1127     7     6     7     7
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1117     6     5     6     5
mariposa_qid_137                                                                    1088     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1084    10     8    10     9
internal_fluent_controller__kubernetes_cluster__spec__message__MessageConte...      1083     0     0     0     0
internal_vstd!map.impl&__0.index.?_pre_post_definition                              1063    15    17    17    16
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1011     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1011     2     2     2     2
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1006     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.owner...       989     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...       987    22    19    23    20
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.owner...       986     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       936    12    12    11    10
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       931     1     1     1     1
internal_fluent_controller__state_machine__action__Action_box_axiom_definit...       925    23    30    25    26
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       911     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       911     2     2     2     2
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       911     2     2     2     2
internal_fluent_controller__kubernetes_api_objects__spec__config_map__Confi...       904     0     0     0     0
internal_fluent_controller!state_machine.action.ActionResult./Enabled/1_inv...       900     5     5     5     6
internal_fluent_controller!state_machine.action.ActionResult./Enabled_const...       880     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       873     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...       871    26    28    31    29
prelude_box_unbox_int                                                                851     1     1     1     1
prelude_has_type_int                                                                 851     4     4     4     4
internal_fluent_controller!temporal_logic.defs.impl&__1.and.?_definition             841    12    12    12    12
internal_fluent_controller!temporal_logic.defs.impl&__1.and.?_pre_post_defi...       841     0     0     0     0
internal_vstd__set__Set<fluent_controller!kubernetes_api_objects.spec.commo...       817     0     0     0     0
mariposa_qid_221                                                                     803
- [root]                                                                              49     1     1     1     1
- user_fluent_controller__kubernetes_cluster__spec__cluster__Cluster__every_i...     542     1     2     1     1
- user_fluent_controller__kubernetes_cluster__spec__cluster__Cluster__every_i...     212     1     2     2     1
internal_crate__fun__1_unbox_axiom_definition                                        797     0     0     0     0
internal_crate__fun__1_constructor_definition                                        788
- [root]                                                                             788     1     1     1     1
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
internal_fluent_controller!state_machine.action.Action./Action/precondition...       754    17    16    16    17
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       748     1     2     1     1
internal_fluent_controller!state_machine.action.ActionResult./Enabled/0_inv...       729     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.impl&__0...       724     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.impl&__0...       724     0     0     0     0
prelude_fuel_defaults                                                                713   177   179   177   183
internal_fluent_controller__state_machine__action__ActionResult_unbox_axiom...       712     0     0     0     0
internal_vstd__set__Set<fluent_controller!kubernetes_api_objects.spec.commo...       706     0     0     0     0
internal_vstd__set__Set<fluent_controller!kubernetes_api_objects.spec.commo...       683     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...       679     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_different_20                           675     3     3     3     3
internal_fluent_controller!state_machine.action.ActionResult./Enabled/0_acc...       674    10    11    13    10
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 637     3     3     3     3
internal_fluent_controller!state_machine.action.Action./Action/transition_a...       616    16    17    16    16
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       607    17    16    15    14
mariposa_qid_147                                                                     605     0     0     0     0
internal_fluent_controller!state_machine.action.Action./Action/transition_i...       605     0     0     0     0
mariposa_qid_224                                                                     599
- [root]                                                                              49     1     2     2     2
- user_fluent_controller__kubernetes_cluster__spec__cluster__Cluster__each_ob...     550     2     3     4     4
internal_fluent_controller!state_machine.action.Action./Action_constructor_...       596     0     0     0     0
internal_fluent_controller!state_machine.action.Action./Action/precondition...       593     3     2     2     2
internal_fluent_controller__kubernetes_api_objects__spec__api_method__Updat...       592     4     5     4     4
internal_fluent_controller__kubernetes_cluster__spec__network__types__Netwo...       542     0     0     0     0
internal_fluent_controller__state_machine__action__Action_unbox_axiom_defin...       540     0     0     0     0
prelude_add                                                                          535    11    10    10    11
internal_fluent_controller!kubernetes_api_objects.spec.service_account.Serv...       527     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.message.MessageContent./...       526     0     0     0     0
mariposa_qid_161                                                                     522    12     9    11    10
user_vstd__map__axiom_map_insert_different_7                                         519     7     7     6     6
internal_fluent_controller!state_machine.action.ActionResult./Disabled_cons...       513     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__network__types__Netwo...       509    11    11    11    12
internal_fluent_controller!kubernetes_cluster.spec.message.MessageContent./...       505     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__common__Kind_box_...       498    19    19    19    17
internal_fluent_controller!kubernetes_cluster.spec.controller.types.Ongoing...       492     3     3     2     4
internal_fluent_controller!kubernetes_cluster.spec.network.types.NetworkSta...       486     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...       482     2     2     2     2
user_vstd__multiset__axiom_multiset_singleton_19                                     478     1     1     1     1
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                      478     5     4     5     4
internal_fluent_controller__fluent_controller__fluentbit__trusted__spec_typ...       475     0     0     0     0
user_vstd__seq__axiom_seq_push_len_41                                                472     5     5     5     5
internal_fluent_controller__kubernetes_cluster__spec__controller__types__On...       472     3     3     3     2
internal_core!option.Option./None_constructor_definition                             468     2     2     2     2
internal_fluent_controller__kubernetes_api_objects__error__APIError_has_typ...       449     0     0     0     0
internal_fluent_controller__fluent_controller__fluentbit__trusted__spec_typ...       448     0     0     0     0
prelude_strlit_injective                                                             439     0     0     0     0
prelude_unbox_box_strslice                                                           439     3     3     3     3
internal_vstd!string.impl&__0.view.?_pre_post_definition                             439     3     3     3     3
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       428    11    11     9    11
internal_fluent_controller__kubernetes_api_objects__error__APIError_box_axi...       426     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__builtin_controllers__...       422     1     1     1     0
internal_fluent_controller!state_machine.action.impl&__0.forward.?_pre_post...       416     0     0     0     1
internal_fluent_controller!state_machine.action.impl&__0.forward.?_definiti...       416    13    13    13    14
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       413     1     1     1     1
internal_vstd!map.impl&__0.insert.?_pre_post_definition                              413     5     5     5     5
internal_fluent_controller!kubernetes_cluster.spec.cluster.Cluster./Cluster...       409     0     0     0     0
mariposa_qid_122                                                                     405    15    14    14    15
internal_fluent_controller__fluent_controller__fluentbit__trusted__spec_typ...       403     0     1     0     0
internal_fluent_controller__kubernetes_cluster__spec__message__MessageConte...       403     5     5     4     4
internal_fluent_controller__kubernetes_cluster__spec__cluster__Cluster_box_...       393    10    10    11    10
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.impl&__0.obj...       391     7     8     8     7
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.impl&__0.obj...       391     2     2     3     3
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       391     1     1     1     1
internal_vstd!seq.Seq.add.?_pre_post_definition                                      389     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__message__RestIdAlloca...       386     1     1     1     1
internal_fluent_controller!kubernetes_cluster.spec.controller.types.Control...       376     1     1     1     2
internal_fluent_controller__kubernetes_cluster__spec__controller__types__Co...       370     0     0     0     0
internal_fluent_controller!kubernetes_cluster.proof.cluster_safety.impl&__0...       367     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       367     0     0     0     0
internal_fluent_controller!kubernetes_cluster.proof.cluster_safety.impl&__0...       367     2     3     4     4
mariposa_qid_223                                                                     362     2     3     4     4
internal_vstd!set.impl&__0.subset_of.?_definition                                    362
- [root]                                                                             362     0     0     0     0
- user_vstd__set__impl&%0__subset_of_1                                                 0     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__controller__types__On...       362     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.impl&__0...       361     2     1     3     2
internal_fluent_controller!kubernetes_cluster.proof.cluster_safety.impl&__0...       361     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.controller.types.Control...       354     0     0     0     0
internal_vstd__map__Map<fluent_controller!kubernetes_api_objects.spec.commo...       340     4     5     4     5
internal_fluent_controller!kubernetes_cluster.spec.controller.types.Ongoing...       339     0     0     1     0
prelude_nat_clip                                                                     330     8     9    10    10
internal_fluent_controller__kubernetes_cluster__spec__controller__types__Co...       326     1     1     1     1
mariposa_qid_241                                                                     320    36    37    36    30
internal_vstd!multiset.impl&__0.contains.?_definition                                318     3     2     2     3
internal_fluent_controller!kubernetes_cluster.spec.cluster.Cluster./Cluster...       317     2     2     2     2
internal_fluent_controller__kubernetes_cluster__spec__message__RestIdAlloca...       315     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.message.RestIdAllocator....       313     0     0     0     0
internal_core!result.Result./Err_constructor_definition                              307     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...       296     2     2     2     2
internal_fluent_controller__kubernetes_cluster__spec__controller__types__Co...       291    13    11    13    10
internal_fluent_controller__kubernetes_cluster__spec__controller__types__Co...       291     1     2     1     0
internal_vstd!seq_lib.impl&__0.filter.?_pre_post_definition                          285     0     0     0     0
user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_63                               285
- [root]                                                                             285     0     0     0     0
- user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_62                               0     0     0     0     0
- user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_61                               0     0     0     0     0
internal_vstd!multiset.impl&__0.add.?_pre_post_definition                            282     0     0     0     0
internal_vstd__map__Map<fluent_controller!kubernetes_api_objects.spec.commo...       281     3     4     4     4
internal_fluent_controller__kubernetes_api_objects__spec__service_account__...       279     5     5     6     7
internal_vstd!map.impl&__0.remove.?_pre_post_definition                              277     2     2     2     2
internal_fluent_controller!kubernetes_api_objects.spec.api_method.UpdateRes...       277     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__api_method__Updat...       276     0     0     0     0
mariposa_qid_163                                                                     274     6     6     6     6
internal_fluent_controller!state_machine.state_machine.impl&__1.next_result...       273     7     7     7     7
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...       273     2     1     2     2
internal_fluent_controller!state_machine.state_machine.impl&__1.next_result...       273     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.message.MessageContent./...       273     0     0     0     0
mariposa_qid_160                                                                     272     9     7     9     9
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...       271     3     3     3     3
