base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.2.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.2.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.2.smt2/traces/shuffle.18166945944228020167

10131 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:524

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller!state_machine.action.Action./Action_construct...       916     0     0     0     0
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       897    16    16    16    16
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       888     4     1     0     1
internal_zookeeper_controller__state_machine__action__ActionResult_unbox_ax...       886     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       879     9     6     7     6
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       867     1     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       863     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...       860     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...       855     1     1     1     1
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...       849     0     1     2     0
internal_vstd!seq.Seq.push.?_pre_post_definition                                     837     4    13     8     2
internal_zookeeper_controller__state_machine__action__Action_unbox_axiom_de...       835     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.api_method.GetReq...       832     0     0     0     0
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...       827    21    21    21    23
internal_zookeeper_controller!state_machine.action.ActionResult./Disabled_c...       826     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       812     1     1     1     1
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       806     3     3     3     3
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Ge...       804     0     0     0     0
prelude_fuel_defaults                                                                792   152   147   147   147
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       784    17    15    15    13
internal_zookeeper_controller!temporal_logic.defs.TempPred./TempPred_constr...       774     0     0     0     0
internal_zookeeper_controller__temporal_logic__defs__TempPred_unbox_axiom_d...       774     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       755     6     6     7     7
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       753     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...       737    13    11    12    13
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       732     0     0     0     0
mariposa_qid_115                                                                     720     7     7     9     8
internal_zookeeper_controller__temporal_logic__defs__TempPred_box_axiom_def...       715    27    27    27    27
prelude_box_unbox_int                                                                711     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       710    12     6     6     6
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_definition          708    17    17    17    17
prelude_has_type_int                                                                 708     5    13     9     3
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       705     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_pre_post_d...       698     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       689     0     0     0     0
