base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2/traces/shuffle.12322797778560412979

10069 unsat

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_resource_state_matches_at_after_create_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:599

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller__state_machine__action__Action_box_axiom_defi...      1223    26    30    30    28
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...      1215    22    20    19    21
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1207     9     7     8    11
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...      1206     3     2     2     3
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1176     4     4     4     4
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled_co...      1147     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1146     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1135     0     0     0     0
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...      1100     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...      1092    18    18    18    16
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...      1089     2     2     2     2
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...      1064     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...      1064     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1055     2     2     4     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1052    15    14    14    14
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...      1046    17    16    17    16
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/0_...      1044     0     0     0     0
internal_vstd!map.impl&__0.insert.?_pre_post_definition                             1043     5     5     5     7
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1034     2     3     3     2
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...      1013     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...      1012     1     2     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...      1012     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...      1010     1     2     1     2
internal_vstd!map.impl&__0.index.?_pre_post_definition                              1004     8     7     7     7
internal_zookeeper_controller__state_machine__action__ActionResult_unbox_ax...       964     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       954     0     0     0     0
mariposa_qid_115                                                                     950     9     8     8     8
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/1_...       943     4     4     4     4
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       930     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       928     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_19                                     922     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       922     1     1     1     1
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                      922     6     5     6     7
prelude_fuel_defaults                                                                895   177   174   178   178
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...       835     0     0     0     0
internal_vstd!multiset.impl&__0.add.?_pre_post_definition                            833     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...       829     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...       817     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.network.types.Network...       811     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       808     2     2     2     2
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       808    17    16    17    17
prelude_add                                                                          805     8     9    10     9
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Cr...       802     4     4     4     3
internal_zookeeper_controller__temporal_logic__defs__TempPred_box_axiom_def...       801    32    32    32    32
internal_core!option.Option./None_constructor_definition                             799     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       787     2     2     2     2
internal_vstd!seq.Seq.push.?_pre_post_definition                                     782     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       770     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       770     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       759     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       759     0     0     0     0
internal_crate__fun__1_unbox_axiom_definition                                        757     0     0     0     0
internal_crate__fun__1_constructor_definition                                        745
- [root]                                                                             745     2     2     2     2
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__network__types__Ne...       735     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       730     8     8     8    12
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       730    17    17    17    22
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 722     3     3     3     3
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Ongo...       712     3     4     3     2
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_has_...       699     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       696    16    16    18    19
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....       677     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....       677     0     0     0     0
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...       671     2     2     2     2
internal_zookeeper_controller!state_machine.action.Action./Action_construct...       669     0     0     0     0
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       669     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...       667     2     2     2     2
prelude_has_type_int                                                                 662     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....       662     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....       662     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       661     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       660     3     3     3     3
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_definition          656    22    22    22    22
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_pre_post_d...       656     0     0     0     0
prelude_box_unbox_int                                                                651     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       651     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_box_...       646     0     0     0     0
mariposa_qid_114                                                                     640     9     9     8     9
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       614     3     3     3     4
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       613     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       601     1     3     3     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       601    12    12    12    11
mariposa_qid_223                                                                     595
- [root]                                                                              62     2     0     1     0
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__each...     533     2     0     1     0
internal_zookeeper_controller__state_machine__action__Action_unbox_axiom_de...       587     0     2     2     0
internal_vstd__map__Map<zookeeper_controller!kubernetes_api_objects.spec.co...       580     2     2     2     2
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/0_...       573    11    10    11    11
user_vstd__set__axiom_set_insert_different_69                                        556     6     6     6     6
