base name:
fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2/traces/rename.3068370539320359280

8504 unsat

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit_config::proof::liveness::resource_match::lemma_resource_state_matches_at_after_create_resource_step
controller_examples/fluent_controller/fluentbit_config/proof/liveness/resource_match.rs:383

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_crate__fun__1_box_axiom_definition                                         1082    33    33    33    33
internal_fluent_controller!state_machine.action.ActionResult./Enabled_const...      1080     0     0     0     0
internal_fluent_controller!state_machine.action.ActionResult./Enabled/0_acc...      1079    12    11    11    11
prelude_box_unbox_int                                                               1064     0     0     0     0
prelude_has_type_int                                                                1062     5     5     5     5
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1043     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.config_map.ConfigMap...      1042     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1026     2     2     2     2
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1003     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1003     1     1     1     1
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1001     1     1     1     1
user_vstd__multiset__axiom_multiset_singleton_different_20                           998     3     3     3     3
mariposa_qid_122                                                                     982     9    10     8    10
internal_fluent_controller!state_machine.action.Action./Action_constructor_...       979     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__network__types__Netwo...       952    11    10    11    10
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...       933     9     9    11    10
internal_fluent_controller!state_machine.action.Action./Action/precondition...       933     1     2     1     2
internal_fluent_controller__kubernetes_cluster__spec__message__Message_box_...       931     4     6     6     4
internal_fluent_controller__state_machine__action__Action_unbox_axiom_defin...       924     0     0     0     0
internal_fluent_controller!state_machine.action.ActionResult./Disabled_cons...       921     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__message__Message_unbo...       908     1     3     4     2
internal_fluent_controller__kubernetes_api_objects__spec__config_map__Confi...       906     0     0     0     0
internal_vstd!seq.Seq.len.?_pre_post_definition                                      904     1     1     0     1
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...       901    16    16    17    16
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...       897    11    10    12    10
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       847    11    10    12    10
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       838    10    10    11    10
internal_crate__fun__1_constructor_definition                                        817
- [root]                                                                             817     2     2     2     2
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
internal_crate__fun__1_unbox_axiom_definition                                        816     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_19                                     806     1     1     1     1
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                      806     3     5     5     4
