base name:
zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2/traces/reseed.4879072961540107419

10214 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::stateful_set_match::lemma_stateful_set_state_matches_at_after_update_stateful_set_step
controller_examples/zookeeper_controller/proof/liveness/stateful_set_match.rs:387

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       939     0     0     0     0
internal_vstd!seq.Seq.add.?_pre_post_definition                                      903     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__pod_template_s...       900     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       892     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       890     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       866    13    13    13    12
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       859     6     8     6     8
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       858    18    17    18    17
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       857     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       845     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       845     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       845     0     0     0     0
mariposa_qid_225                                                                     826
- [root]                                                                              21     1     2     1     1
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__each...     805     2     3     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       824     9    11     9     9
prelude_unbox_box_strslice                                                           819     0     0     0     0
internal_vstd!string.impl&__0.view.?_pre_post_definition                             819     0     0     0     0
prelude_strlit_injective                                                             819     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       803    12    17    12    12
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...       802     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       795     0     0     0     0
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...       789    23    21    23    24
internal_zookeeper_controller__state_machine__action__Action_box_axiom_defi...       784    28    26    28    23
user_vstd__map__axiom_map_remove_different_9                                         754     3     3     3     3
mariposa_qid_222                                                                     746
- [root]                                                                              21     1     1     1     1
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__ever...     221     1     2     1     1
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__ever...     504     1     1     1     1
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       729     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       725     5     6     5     5
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       709     0     0     0     0
user_vstd__set__axiom_set_remove_different_72                                        709     3     3     3     3
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       709     0     0     0     0
internal_crate__fun__1_constructor_definition                                        707
- [root]                                                                             707     0     0     0     0
