base name:
fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.6.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.6.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.6.smt2/traces/reseed.7061097732213380854

10102 unknown

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit_config::proof::liveness::resource_match::lemma_resource_state_matches_at_after_update_resource_step
controller_examples/fluent_controller/fluentbit_config/proof/liveness/resource_match.rs:521

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_fluent_controller!kubernetes_cluster.spec.message.Message./Message...       940     0     0     0     0
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              921     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       911     1     1     1     2
internal_fluent_controller__kubernetes_api_objects__spec__common__ObjectRef...       891     4     4     5     4
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       866     6     5     6     5
internal_core!option.Option./None_constructor_definition                             840     2     3     2     2
internal_fluent_controller__kubernetes_api_objects__spec__config_map__Confi...       833     0     0     0     0
internal_fluent_controller__state_machine__action__Action_box_axiom_definit...       827    24    28    23    30
prelude_box_unbox_int                                                                825     0     0     0     0
prelude_has_type_int                                                                 818     4     4     4     4
internal_fluent_controller!kubernetes_cluster.spec.message.MessageContent./...       815     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       802     1     1     1     1
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       802     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       779     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...       773    18    20    19    20
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       753     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_different_20                           747     5     5     3     4
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       742     1     1     1     1
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       742     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...       742     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       742     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       732     8     8     8     8
internal_fluent_controller!state_machine.action.ActionResult./Disabled_cons...       711     0     0     0     0
internal_fluent_controller!state_machine.action.Action./Action/precondition...       707    18    17    17    17
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       702     6     6     6     6
internal_fluent_controller__kubernetes_cluster__spec__message__Message_unbo...       690     3     2     2     3
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       672    10    11    11    11
internal_fluent_controller__kubernetes_api_objects__spec__secret__SecretVie...       672     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       655     1     0     1     0
internal_fluent_controller__state_machine__action__ActionResult_unbox_axiom...       653     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       651     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__api_method__Updat...       639     4     4     4     5
internal_fluent_controller__kubernetes_api_objects__spec__common__ObjectRef...       623     9     8     8     8
internal_fluent_controller!state_machine.action.Action./Action/transition_a...       616    17    17    16    17
internal_fluent_controller__kubernetes_cluster__spec__message__Message_box_...       606     6     5     3     7
internal_tuple__2./tuple__2/1_invariant_definition                                   603     5     5     7     5
internal_fluent_controller!state_machine.action.Action./Action/transition_i...       588     0     0     0     0
mariposa_qid_185                                                                     577
- [root]                                                                              26     2     2     2     2
- user_fluent_controller__kubernetes_cluster__spec__cluster__Cluster__each_ob...     551     2     2     3     2
internal_vstd!seq.Seq.len.?_pre_post_definition                                      566     1     1     1     1
mariposa_qid_72                                                                      559     6     4     4     5
internal_crate__fun__1_constructor_definition                                        558
- [root]                                                                             558     1     1     1     1
