base name:
zookeeper-log-zookeeper_controller__proof__helper_invariants__proof.2.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof.2.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof.2.smt2/traces/reseed.1220102126068723003

10177 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::helper_invariants::proof::lemma_always_cr_objects_in_etcd_satisfy_state_validation
controller_examples/zookeeper_controller/proof/helper_invariants/proof.rs:46

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_vstd!seq.Seq.len.?_pre_post_definition                                      945     0     0     0     0
prelude_unbox_box_int                                                                910     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__builtin_controller...       849     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_has_...       848     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_b...       832     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       796     0     0     0     0
user_vstd__set__axiom_set_remove_different_73                                        777     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       775     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...       767     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...       753     4     4     4     4
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...       743     3     3     3     3
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       723     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       713     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       711     1     1     0     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       711     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__HostId_bo...       706     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       702     1     2     3     2
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       699     2     1     1     1
prelude_fuel_defaults                                                                682    64    62    59    62
internal_core!result.Result./Err_constructor_definition                              673     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       654     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       636     1     1     1     1
internal_vstd__map__Map<zookeeper_controller!kubernetes_api_objects.spec.co...       636     2     2     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       620     0     0     0     0
user_vstd__map__axiom_map_insert_different_8                                         615     4     4     6     4
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       612     7     6     8     5
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__5.form...       612     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__5.form...       612     0     0     0     0
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       608     5     3     5     3
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       592     1     1     1     1
internal_zookeeper_controller__state_machine__action__Action_box_axiom_defi...       591    19    19    19    19
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...       588    11    11    11    11
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       560     0     0     0     0
internal_tuple__2./tuple__2/1_invariant_definition                                   550     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       545     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Kind_b...       527    14    13    13    13
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       495     7     7     8     6
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...       495     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       495     8     7     7     5
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       494     0     0     0     0
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       490     6     4     5     3
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_box_...       486     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Up...       484     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       484    13    12    13    13
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       480    13    13    13    13
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       478     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       475     4     4     4     4
internal_crate__fun__1_apply_definition                                              466     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....       465     4     4     4     4
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       460     1     0     0     0
