base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2/traces/reseed.11509608877003423912

10137 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_update_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:863

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       806    11     8    11    12
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       801     2     2     2     2
internal_zookeeper_controller!state_machine.action.ActionResult./Disabled_c...       799     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       791     0     0     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       783     4     4     4     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       775    11    10    13    11
internal_zookeeper_controller__temporal_logic__defs__TempPred_unbox_axiom_d...       758     1     1     1     1
internal_zookeeper_controller!temporal_logic.defs.TempPred./TempPred_constr...       758     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       745     3     3     3     2
internal_zookeeper_controller__state_machine__action__Action_box_axiom_defi...       733    25    25    28    28
internal_core!option.Option./None_constructor_definition                             731     2     2     2     2
internal_tuple__2./tuple__2/1_invariant_definition                                   725     7     7     6     6
internal_zookeeper_controller!vstd_ext.string_view.int_to_string_view.?_pre...       715     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       691     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       678     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       676     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       657    13     8    13    13
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...       639    18    17    19    17
mariposa_qid_223                                                                     637
- [root]                                                                              38     1     1     1     1
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__each...     599     2     2     2     1
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       625     1     0     0     1
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       622     3     3     3     3
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       622     0     0     0     0
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       617     0     0     0     0
prelude_fuel_defaults                                                                616   153   154   155   156
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       599     2     2     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_b...       598    12    11    13    11
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...       595     2     2     2     1
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Kind_b...       591    16    16    17    16
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...       591    10     8    11     9
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              590     2     2     2     2
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       581     0     0     0     0
internal_zookeeper_controller__temporal_logic__defs__TempPred_box_axiom_def...       577    39    39    39    39
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...       576    21    22    23    21
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       564     0     0     0     0
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                          559    10    12    10    11
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_definition          555    25    25    25    25
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_pre_post_d...       555     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       554     1     1     1     1
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       551    17    16    17    16
internal_zookeeper_controller!state_machine.action.Action./Action_construct...       522     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       518    10     7    10    10
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       517     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       517     0     0     0     0
