base name:
zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals.smt2/traces/shuffle.7733625717432307390

10111 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::helper_invariants::proof::lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals
controller_examples/zookeeper_controller/proof/helper_invariants/proof.rs:1115

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller__state_machine__action__ActionResult_unbox_ax...       880     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       872     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       862     1     1     1     1
internal_core!option.Option./None_constructor_definition                             810     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       790     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...       789     1     1     1     1
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/0_...       784     8     7     7     8
internal_vstd!string.impl&__0.view.?_pre_post_definition                             783     3     3     3     3
prelude_fuel_defaults                                                                774   151   150   150   151
prelude_box_unbox_int                                                                761     0     8     8     8
prelude_unbox_box_strslice                                                           754     3     3     3     3
prelude_strlit_injective                                                             753     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       751     0     0     0     0
prelude_has_type_int                                                                 744     9     8    11    13
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       705     0     0     0     0
mariposa_qid_135                                                                     690     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       685     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...       665     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       664    22    22    22    22
internal_zookeeper_controller__kubernetes_cluster__spec__message__RestIdAll...       656     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...       653     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       638     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       637     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__RestIdAll...       625     3     1     1     3
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.types.ApiS...       618     0     1     1     0
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...       618     0     0     0     0
prelude_add                                                                          614    13    14    14    15
internal_zookeeper_controller!zookeeper_controller.model.reconciler.reconci...       611     0     0     0     0
internal_zookeeper_controller!zookeeper_controller.model.reconciler.reconci...       611    10     5     5     5
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...       608     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       602     4     4     4     4
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....       599     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       594     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__network__types__Ne...       591     9     9     9     9
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       588     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       582     4     5     5     5
internal_vstd!multiset.impl&__0.add.?_pre_post_definition                            566     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.RestIdAllocat...       562     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       558     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       556     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       554     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       542     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_u...       542     7     6     6     7
internal_crate__fun__1_constructor_definition                                        540
- [root]                                                                             540     0     0     0     0
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
internal_crate__fun__1_unbox_axiom_definition                                        539     0     0     0     0
internal_vstd!seq.Seq.push.?_pre_post_definition                                     535     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....       534     0     0     0     0
internal_zookeeper_controller!state_machine.action.impl&__0.forward.?_defin...       526    11    11    11    11
internal_zookeeper_controller!state_machine.action.impl&__0.forward.?_pre_p...       526     0     0     0     0
mariposa_qid_168                                                                     515    11    11    11    11
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       509     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       501     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__client__types__Ste...       498     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       494     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       492    22    22    22    22
internal_crate__fun__1_box_axiom_definition                                          488     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....       465     8     8     8     8
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_has_...       463     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__external_api__type...       462     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       456     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__HostId_bo...       455     2     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__4.get_...       454     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__4.get_...       454     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.client.types.ClientAc...       454     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       451     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_box_...       447     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Pro...       429     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_b...       427    18    18    18    18
internal_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster_b...       425    10    10    10    10
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       424     0     0     0     0
