base name:
rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2/traces/reseed.13968666206025494122

10127 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::helper_invariants::proof::lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step
controller_examples/rabbitmq_controller/proof/helper_invariants/proof.rs:870

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       715     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       711     0     0     0     0
prelude_unbox_box_int                                                                710     0     1     1     1
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...       695     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       692     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       692     0     0     0     0
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...       682     0     0     0     0
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...       682     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       673     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       663     0     0     0     0
prelude_fuel_defaults                                                                635   173   195   195   195
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       615     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...       614    34    16    16    16
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       604     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.GetRequ...       603     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       585     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       557    40    35    35    35
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...       553     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__VolumeV...       547     0     7     7     7
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       547     0     0     0     0
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/1_i...       539     1     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Get...       537     0     0     0     0
internal_vstd!seq.Seq.empty.?_pre_post_definition                                    535     1     6     6     6
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       526     0     0     0     0
internal_crate__fun__2_constructor_definition                                        518
- [root]                                                                             518     1     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       518    36    34    34    34
internal_crate__fun__2_box_axiom_definition                                          514    25    24    24    24
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       505    37    35    35    35
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.GetRequ...       497     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       495     0     0     0     0
internal_crate__fun__2_unbox_axiom_definition                                        492     0     0     0     0
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                          483     4     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       480     0     0     0     0
internal_crate__fun__1_apply_definition                                              472     4     4     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       469     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...       469     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...       469    17    10    10    10
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       464     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       464     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       457    36    35    35    35
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       455     0     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Get...       449    23    12    12    12
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       447     0     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       447     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       444     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__stateful_set__S...       443     2     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       440    27    20    20    20
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...       426     0     0     0     0
internal_rabbitmq_controller__state_machine__action__ActionResult_box_axiom...       414    10     5     5     5
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       410    16    11    11    11
internal_rabbitmq_controller!state_machine.action.ActionResult./Disabled_co...       407     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__KeyToPa...       399     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       397     7     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Prob...       396     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       382    29    28    28    28
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...       382     3     4     4     4
internal_crate__fun__1_box_axiom_definition                                          370    29    29    29    29
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       369     0     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       366     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Cont...       365     8     8     8     8
internal_rabbitmq_controller__kubernetes_cluster__spec__message__Message_un...       365     3     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       364     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...       360     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...       356     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       356    36    34    34    34
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__0.se...       356     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__0.se...       356     0     7     7     7
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       351     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       351     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Cont...       350     0     0     0     0
internal_rabbitmq_controller__state_machine__action__Action_box_axiom_defin...       349    18    22    22    22
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       347     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__EnvV...       337     0     8     8     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       336     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_different_19                           334     2     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...       333     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       333     0     0     0     0
internal_rabbitmq_controller__state_machine__action__ActionResult_unbox_axi...       325     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       324     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       323     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       323     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Prob...       323     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Cont...       323     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...       322     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       322     0     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       322     0     0     0     0
mariposa_qid_113                                                                     321     3     4     4     4
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__KeyToPa...       321     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.KeyToPathVi...       321     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__Message_bo...       317     3     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       314     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...       311     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       311     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       310     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       306     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Cont...       306     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       304     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__stateful_set__S...       303     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__config_map__Con...       293     2     4     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...       288     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....       285     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       284     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__config_map__Con...       284     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       280     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       278     0     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.new.?_pre_post_de...       278     0     0     0     0
